accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Zapatadon ejidoensis,1090588,Reptilia,105237,MX,190.8,182.7,26.6,-99.51667,7.62,-29.31,Tetrapoda,Pliensbachian,29.35522,90.09207,2.502557,9.525090000000002,15.72771985
Victoriaconodon inaequalis,1090612,Mammalia,136969,MX,190.8,182.7,26.6,-99.51667,7.62,-29.31,Tetrapoda,Pliensbachian,29.35522,90.09207,2.502557,9.525090000000002,15.72771985
Sphenovipera jimmysjoyi,1090620,Reptilia,136975,MX,190.8,182.7,26.6,-99.51667,7.62,-29.31,Tetrapoda,Pliensbachian,29.35522,90.09207,2.502557,9.525090000000002,15.72771985
Bienotherium yunnanense,1090809,Osteichthyes,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium yunnanense,1090809,Osteichthyes,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium magnum,1090812,Osteichthyes,78993,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Lufengia delicata,1090813,Osteichthyes,78993,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinoconodon rigneyi,1091118,Osteichthyes,72091,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinoconodon rigneyi,1091119,Osteichthyes,78993,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinoconodon rigneyi,1091120,Osteichthyes,137128,CN,199.3,190.8,25.172689,102.107323,37.38,122.22,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Parapsicephalus purdoni,1091165,Reptilia,90458,UK,183,182,54.549999,-0.883333,42.87,16.31,Tetrapoda,Toarcian,23.68982,41.51973,1.610042,43.868991,4.683027
Sinoconodon rigneyi,1091176,Osteichthyes,137134,CN,199.3,190.8,25.180843,102.117439,37.39,122.23,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Redondasaurus gregorii,1091846,Reptilia,137230,US,208.5,201.3,38.155556,-109.243332,12.82,-38.07,Tetrapoda,Rhaetian,34.82471,14.21827,0.3949525,7.249629999999996,2.195817908
Protosuchus richardsoni,1091860,Reptilia,137231,US,201.3,199.3,36,-111.25,11.89,-40,Tetrapoda,Hettangian,35.94873,30.78781,0.8552154,8.718419999999998,5.466224791
Protosuchus richardsoni,1092046,Reptilia,137291,US,201.3,199.3,36,-111.25,11.89,-40,Tetrapoda,Hettangian,35.94873,30.78781,0.8552154,8.718419999999998,5.466224791
Protosuchus richardsoni,1092054,Reptilia,137295,US,201.3,199.3,35.783333,-111.116669,11.66,-39.9,Tetrapoda,Hettangian,35.94873,30.78781,0.8552154,8.718419999999998,5.466224791
Pegomastax africanus,1092062,Ornithischia,85486,ZA,201.3,199.3,-30.5333,27.4167,-45.91,14.91,Dinosauromorpha,Hettangian,19.7674,7.131314,0.2783161,47.176541,0.7291392999999999
Pegomastax africanus,1092062,Ornithischia,85486,ZA,201.3,199.3,-30.5333,27.4167,-45.91,14.91,Dinosauromorpha,Hettangian,19.7674,7.131314,0.2783161,47.176541,0.7291392999999999
