taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Panphagia_protos,87090,"Ischigualasto Formation (La Peña Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Panphagia_protos,87090,"Ischigualasto Formation (La Peña Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Dromomeron_romeri,52498,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,36.03503,0.5133756,4.386900000000004,3.74828659
Dromomeron_romeri,52498,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,36.03503,0.5133756,4.386900000000004,3.74828659
Dromomeron_gregorii,39160,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,34.07892,0.7038454,3.77664,4.87227172
Dromomeron_gregorii,39160,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,34.07892,0.7038454,3.77664,4.87227172
Dromomeron_gregorii,22706,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Dromomeron_gregorii,22706,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Tawa_hallae,74202,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Tawa_hallae,74202,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Tawa_hallae,92938,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Tawa_hallae,92938,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Tawa_hallae,92939,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Tawa_hallae,92939,Chinle Formation (Petrified Forest Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Lufengosaurus_huenei,94783,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,17.87299,2.29851,54.29929,3.388475999999999
Seitaad_ruessi,94804,Navajo Sandstone Formation,USA,Pliensbachian,28.94113,1.911057,20.129490000000004,12.167373913
Seitaad_ruessi,94804,Navajo Sandstone Formation,USA,Pliensbachian,28.94113,1.911057,20.129490000000004,12.167373913
Barapasaurus_tagorei,97447,Kota Formation (Lower),India,Sinemurian,29.13507,4.253777,12.34161,17.564057000000002
Barapasaurus_tagorei,97447,Kota Formation (Lower),India,Sinemurian,29.13507,4.253777,12.34161,17.564057000000002
Sarahsaurus_aurifontanalis,98597,Kayenta Formation (Silty Facies Member),USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Sanjuansaurus_gordilloi,98905,"Ischigualasto Formation (La Peña Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Sanjuansaurus_gordilloi,98905,"Ischigualasto Formation (La Peña Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Staurikosaurus_pricei,72090,"Santa Maria Formation (Alemoa Member, Rhynchocephalian (Scaphonyx) Assemblage Zone)",Brazil,Carnian,20.94003,0.6687132,49.524597,1.6672589999999998
Staurikosaurus_pricei,72090,"Santa Maria Formation (Alemoa Member, Rhynchocephalian (Scaphonyx) Assemblage Zone)",Brazil,Carnian,20.94003,0.6687132,49.524597,1.6672589999999998
Ignavusaurus_rachelis,99624,Elliot Formation (Upper),Lesotho,Hettangian,16.79559,0.804966,43.472225,1.890259
Ignavusaurus_rachelis,99624,Elliot Formation (Upper),Lesotho,Hettangian,16.79559,0.804966,43.472225,1.890259
Jingshanosaurus_xinwaensis,101071,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Jingshanosaurus_xinwaensis,101071,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Eodromaeus_murphi,102380,"Ischigualasto Formation (Valle de la Luna Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Eodromaeus_murphi,102380,"Ischigualasto Formation (Valle de la Luna Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Leonerasaurus_taquetrensis,103445,Las Leoneras Formation (Upper),Argentina,Sinemurian,15.02945,1.444313,25.278293,6.8000527
Leonerasaurus_taquetrensis,103445,Las Leoneras Formation (Upper),Argentina,Sinemurian,5.427155,0,5.659302,0
Marasuchus_lilloensis,13003,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Marasuchus_lilloensis,13003,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Lagerpeton_chanarensis,105535,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Lagerpeton_chanarensis,105535,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Plateosaurus_gracilis,105831,Löwenstein Formation (Middle Stubensandstein Member),Germany,Norian,28.90005,1.000406,31.029360000000004,3.30474
Plateosaurus_gracilis,105831,Löwenstein Formation (Middle Stubensandstein Member),Germany,Norian,28.90005,1.000406,31.029360000000004,3.30474
Daemonosaurus_chauliodus,48422,Chinle Formation (Siltstone Member),USA,Norian,35.86569,0.7302114,4.4039,5.16066753
Manidens_condorensis,67434,Cañadón Asfalto Formation,Argentina,Toarcian,15.38562,1.048869,38.0774561,4.0168005
Manidens_condorensis,67434,Cañadón Asfalto Formation,Argentina,Toarcian,15.38562,1.048869,38.0774561,4.0168005
Diodorus_scytobrachion,118012,Timezgadiouine Formation,Morocco,Carnian,35.27338,1.797081,6.045620000000003,11.13415346
Diodorus_scytobrachion,118012,Timezgadiouine Formation,Morocco,Carnian,35.27338,1.797081,6.045620000000003,11.13415346
Chromogisaurus_novasi,131436,"Ischigualasto Formation (Cancha de Bochas Member, Scaphonyx-Exaeretodon-Herrerasaurus other zone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Chromogisaurus_novasi,131436,"Ischigualasto Formation (Cancha de Bochas Member, Scaphonyx-Exaeretodon-Herrerasaurus other zone)",Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Leyesaurus_marayensis,131450,Quebrada del Barro Formation,Argentina,Norian,18.24973,1.142106,33.075625,6.0775099
Leyesaurus_marayensis,131450,Quebrada del Barro Formation,Argentina,Norian,6.751678,0,5.252323999999999,0
Pegomastax_africanus,85486,Elliot Formation (Upper),South Africa,Hettangian,19.7674,0.2783161,47.176541,0.7291392999999999
Pegomastax_africanus,85486,Elliot Formation (Upper),South Africa,Hettangian,19.7674,0.2783161,47.176541,0.7291392999999999
Heterodontosaurus_tucki,49394,Clarens Formation and Elliot Formation (Upper),South Africa,Hettangian,19.7674,0.2783161,47.176541,0.7291392999999999
Heterodontosaurus_tucki,49394,Clarens Formation and Elliot Formation (Upper),South Africa,Hettangian,19.7674,0.2783161,47.176541,0.7291392999999999
Yunnanosaurus_huangi,49501,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
